City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Bardiyah,LY,78.85,clear sky,31.76,25.09,بورتو بردية
344,Meulaboh,ID,75.29,overcast clouds,4.14,96.13,Kost Pria
345,Mnogovershinnyy,RU,68.68,overcast clouds,53.94,139.92,Kvartsevaya Sopka
346,Kamsack,CA,68.45,clear sky,51.57,-101.9,Liquor Store Kamsack & Woodlander Hotel
348,Los Llanos De Aridane,ES,67.75,overcast clouds,28.66,-17.92,Valle Aridane
349,Mulchen,CL,60.66,overcast clouds,-37.72,-72.23,Hotel Los Maitenes de Villalón
352,Hovd,MN,62.13,clear sky,48.01,91.64,Hotel Khovd
353,Balikpapan,ID,77.0,scattered clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
355,Manfredonia,IT,74.82,broken clouds,41.63,15.91,Hotel Panorama del Golfo
358,High Level,CA,64.51,smoke,58.52,-117.14,Days Inn by Wyndham High Level
360,Vanimo,PG,77.56,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
362,Nishihara,JP,78.08,light intensity shower rain,26.18,127.76,Minshuku Agaihama
363,Jinchang,CN,75.92,broken clouds,38.5,102.17,Mingshihui Jinchang International Hotel
364,Zhuanghe,CN,73.81,clear sky,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
365,Asau,RO,67.75,light rain,46.43,26.4,Casa Mika Ciobanus
366,Lixourion,GR,74.68,clear sky,38.2,20.43,Hotel Summery
368,Hobyo,SO,76.12,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
373,Plonsk,PL,67.03,few clouds,52.62,20.38,Hotel Martex
375,Nyurba,RU,62.13,overcast clouds,63.28,118.33,Gostinitsa Alrosa
378,Agadir,MA,72.05,clear sky,30.42,-9.6,Iberostar Founty Beach
379,Lagoa,PT,69.31,overcast clouds,39.05,-27.98,Casa Das Faias
381,Ilo,PE,62.02,broken clouds,-17.64,-71.34,Torreblanca Hotel
383,Sitka,US,64.29,few clouds,57.05,-135.33,Westmark Sitka
385,Fukue,JP,79.75,overcast clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
387,Namanga,KE,61.92,broken clouds,-2.54,36.79,Visit Namanga
389,Ust-Ilimsk,RU,62.8,broken clouds,58.0,102.66,Alenat Tsentr
392,Ivanivka,UA,79.93,clear sky,46.72,34.55,Спорт Лото
393,Mangochi,MW,67.75,overcast clouds,-14.48,35.26,Eunice Guesthouse
396,Hede,CN,78.08,overcast clouds,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
400,Sapele,NG,75.58,light rain,5.89,5.68,Movig Hotel & Suites
402,Chama,CH,68.16,clear sky,47.18,8.46,Hotel & Brasserie Löwen am See
404,Ust-Nera,RU,73.38,few clouds,64.57,143.2,Hotel Ust-Nera
405,Valparaiso,CL,66.43,clear sky,-33.04,-71.63,Hotel Ultramar
406,Karaton,ID,78.96,few clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
408,Suntar,RU,61.77,overcast clouds,62.14,117.63,Дом у Мамы
409,Pontal Do Parana,BR,62.26,clear sky,-25.65,-48.51,Eco Hostel Residencial Bananeiras
410,Sipovo,BA,66.45,light rain,44.28,17.08,Domaćinstvo Todorčević
411,Chimore,BO,63.39,broken clouds,-16.98,-65.13,Bichito
412,Asnaes,DK,62.15,clear sky,55.81,11.5,Country House
413,Ipixuna,BR,76.95,overcast clouds,-1.76,-48.8,Casa da Oscarina
423,Totness,SR,78.21,heavy intensity rain,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
426,Prince Rupert,CA,62.69,overcast clouds,54.32,-130.32,Crest Hotel
429,Hudson Bay,CA,79.03,clear sky,52.85,-102.38,Norwood Motel LTD
430,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
431,Grand Gaube,MU,72.0,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
